색상명,RGB
Aqua Green,"(0, 192, 163)"
Army Green,"(78, 91, 49)"
Avocado,"(155, 148, 95)"
Bright Green,"(170, 219, 30)"
Celadon,"(173, 223, 179)"
Chartreuse,"(177, 188, 85)"
Christmas Green,"(0, 135, 62)"
Columbia Green,"(0, 149, 138)"
Corn Green,"(113, 169, 44)"
Dark Green,"(21, 71, 52)"
Emerald Green,"(0, 155, 119)"
Eucalyptus,"(68, 215, 168)"
Fluorescent Green,"(8, 255, 8)"
Forest Green,"(0, 110, 51)"
Girl Scout Green,"(0, 154, 68)"
Grass Green,"(0, 154, 23)"
Green Screen Color,"(0, 177, 64)"
Hunter Green,"(68, 105, 61)"
Irish Green,"(0, 154, 68)"
Jade Green,"(0, 168, 107)"
Kelly Green,"(4, 106, 56)"
Kiwi Green,"(162, 165, 104)"
Leaf Green,"(48, 183, 0)"
Lightsaber Green,"(47, 249, 36)"
Lime Green,"(120, 190, 33)"
Opal,"(164, 189, 186)"
Midnight Green,"(0, 76, 84)"
Military Green,"(75, 83, 32)"
Mint Green,"(162, 228, 184)"
Moss,"(156, 156, 83)"
Neon Green,"(68, 214, 44)"
Olive Green,"(109, 113, 46)"
Pastel Green,"(119, 221, 119)"
Petrol,"(0, 98, 105)"
Pine Green,"(1, 121, 111)"
Road Sign Green,"(1, 115, 92)"
Sage Green,"(156, 175, 136)"
Seafoam Green,"(159, 226, 191)"
Shrek Green,"(196, 211, 0)"
Spearmint,"(97, 194, 162)"
Spring Green,"(38, 208, 124)"
Tennis Court Green,"(108, 147, 92)"
Turquoise,"(83, 176, 174)"
Viridian,"(65, 117, 113)"
Khaki,"(91, 90, 53)"
Scrub,"(66, 68, 55)"